,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
,"Invoice","02-01-2025","MC06518","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",60459.08,"",66433268.60,"Accounts Receivable"
,"Invoice","02-01-2025","MC06519","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",552006.79,"",66985275.39,"Accounts Receivable"
,"Invoice","02-01-2025","MC06520","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",169233.79,"",67154509.18,"Accounts Receivable"
,"Invoice","02-01-2025","MC06521","Unilever Kenya Ltd:Domestos",,"Accounts Receivable",,"-SPLIT-",81117.99,"",67235627.17,"Accounts Receivable"
,"Invoice","03-01-2025","MC06522","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",507360.06,"",67742987.23,"Accounts Receivable"
,"Invoice","03-01-2025","MC06523","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",544131.76,"",68287118.99,"Accounts Receivable"
,"Payment","03-01-2025","2000000137","-MULTIPLE-",,"Accounts Receivable",,"Undeposited Funds","",5491282.26,62795836.73,"Accounts Receivable"
,"Invoice","04-01-2025","MC06524","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",138370.92,"",62934207.65,"Accounts Receivable"
,"Invoice","04-01-2025","MC06525","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",45147.57,"",62979355.22,"Accounts Receivable"
,"Invoice","04-01-2025","MC06526","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",905158.86,"",63884514.08,"Accounts Receivable"
,"Invoice","06-01-2025","MC06527","Khetshi Dharamshi And Company Limited",,"Accounts Receivable",,"-SPLIT-",11136.00,"",63895650.08,"Accounts Receivable"
,"Invoice","06-01-2025","MC06528","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",184494.57,"",64080144.65,"Accounts Receivable"
,"Invoice","06-01-2025","MC06529","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",90295.14,"",64170439.79,"Accounts Receivable"
,"Invoice","06-01-2025","MC06530","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",792215.46,"",64962655.25,"Accounts Receivable"
,"Payment","06-01-2025","TA675H0FC3","Azaavi Collections Limited",,"Accounts Receivable",,"Undeposited Funds","",17000.00,64945655.25,"Accounts Receivable"
,"Invoice","07-01-2025","MC06531","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",138370.92,"",65084026.17,"Accounts Receivable"
,"Invoice","07-01-2025","MC06532","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",45147.57,"",65129173.74,"Accounts Receivable"
,"Invoice","07-01-2025","MC06533","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",637148.47,"",65766322.21,"Accounts Receivable"
,"Invoice","07-01-2025","MC06534","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",69399.66,"",65835721.87,"Accounts Receivable"
,"Invoice","08-01-2025","MC06535","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",304608.22,"",66140330.09,"Accounts Receivable"
,"Invoice","08-01-2025","MC06536","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",225737.86,"",66366067.95,"Accounts Receivable"
,"Invoice","08-01-2025","MC06537","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",256526.07,"",66622594.02,"Accounts Receivable"
,"Invoice","08-01-2025","MC06538","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",111677.61,"",66734271.63,"Accounts Receivable"
,"Invoice","08-01-2025","MC06539","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",645730.98,"",67380002.61,"Accounts Receivable"
,"Invoice","08-01-2025","MC06540","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",357390.43,"",67737393.04,"Accounts Receivable"
,"Invoice","09-01-2025","MC06541","Zenith Steel Fabricators Ltd",,"Accounts Receivable",,"-SPLIT-",15544.00,"",67752937.04,"Accounts Receivable"
,"Invoice","09-01-2025","MC06542","KIRINYAGA FLOUR MILLS LIMITED",,"Accounts Receivable",,"-SPLIT-",2300.00,"",67755237.04,"Accounts Receivable"
,"Invoice","09-01-2025","MC06543","ZAIN SUPERMARKET LIMITED",,"Accounts Receivable",,"-SPLIT-",6786.00,"",67762023.04,"Accounts Receivable"
,"Invoice","09-01-2025","MC06544","NASRI MART LIMITED",,"Accounts Receivable",,"-SPLIT-",2784.00,"",67764807.04,"Accounts Receivable"
,"Payment","09-01-2025","2000000569","-MULTIPLE-",,"Accounts Receivable",,"Undeposited Funds","",4586050.00,63178757.04,"Accounts Receivable"
,"Invoice","10-01-2025","MC06545","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",123528.77,"",63302285.81,"Accounts Receivable"
,"Invoice","10-01-2025","MC06546","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",302295.42,"",63604581.23,"Accounts Receivable"
,"Invoice","10-01-2025","MC06547","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",273063.63,"",63877644.86,"Accounts Receivable"
,"Invoice","10-01-2025","MC06548","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",81365.11,"",63959009.97,"Accounts Receivable"
,"Invoice","10-01-2025","MC06549","Unilever Kenya Ltd:Domestos",,"Accounts Receivable",,"-SPLIT-",10429.46,"",63969439.43,"Accounts Receivable"
,"Invoice","10-01-2025","MC06550","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",164064.60,"",64133504.03,"Accounts Receivable"
,"Payment","10-01-2025","2000000671","-MULTIPLE-",,"Accounts Receivable",,"Undeposited Funds","",1214861.29,62918642.74,"Accounts Receivable"
,"Payment","10-01-2025","FT25010XXVKD","OFFSHORE GLOBAL LOGISTICS LIMITED",,"Accounts Receivable",,"Undeposited Funds","",4872.00,62913770.74,"Accounts Receivable"
,"Invoice","13-01-2025","MC06551","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",315178.22,"",63228948.96,"Accounts Receivable"
,"Invoice","13-01-2025","MC06552","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",241836.34,"",63470785.30,"Accounts Receivable"
,"Invoice","13-01-2025","MC06553","Unilever Kenya Ltd:Domestos",,"Accounts Receivable",,"-SPLIT-",180799.08,"",63651584.38,"Accounts Receivable"
,"Invoice","13-01-2025","MC06554","Unilever Kenya Ltd:Domestos",,"Accounts Receivable",,"-SPLIT-",187730.20,"",63839314.58,"Accounts Receivable"
,"Invoice","13-01-2025","MC06555","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",145835.20,"",63985149.78,"Accounts Receivable"
,"Invoice","14-01-2025","MC06556","KASAMAT INVESTMENTS LTD",,"Accounts Receivable",,"-SPLIT-",2303.99,"",63987453.77,"Accounts Receivable"
,"Invoice","14-01-2025","MC06557","DALLAS SHOPRITE LTD",,"Accounts Receivable",,"-SPLIT-",2664.00,"",63990117.77,"Accounts Receivable"
,"Invoice","14-01-2025","MC06558","LUCKY MART SUPERMARKET LIMITED",,"Accounts Receivable",,"-SPLIT-",3564.00,"",63993681.77,"Accounts Receivable"
,"Payment","14-01-2025","2000000889","-MULTIPLE-",,"Accounts Receivable",,"Undeposited Funds","",3899074.55,60094607.22,"Accounts Receivable"
,"Invoice","15-01-2025","MC06559","Mumsha Supamat",,"Accounts Receivable",,"-SPLIT-",3468.00,"",60098075.22,"Accounts Receivable"
,"Invoice","15-01-2025","MC06560","INTEGRAL MEDIA LIMITED",,"Accounts Receivable",,"-SPLIT-",3040.00,"",60101115.22,"Accounts Receivable"
,"Invoice","15-01-2025","MC06561","THE REAL IPM COMPANY (KENYA)LIMITED",,"Accounts Receivable",,"-SPLIT-",13920.00,"",60115035.22,"Accounts Receivable"
,"Invoice","15-01-2025","MC06562","OFFSHORE GLOBAL LOGISTICS LIMITED",,"Accounts Receivable",,"-SPLIT-",9280.00,"",60124315.22,"Accounts Receivable"
,"Invoice","15-01-2025","MC06563","OFFSHORE GLOBAL LOGISTICS LIMITED",,"Accounts Receivable",,"-SPLIT-",754.00,"",60125069.22,"Accounts Receivable"
,"Invoice","15-01-2025","MC06564","Azaavi Collections Limited",,"Accounts Receivable",,"-SPLIT-",2427.30,"",60127496.52,"Accounts Receivable"
,"Invoice","15-01-2025","MC06565","Aurora Ventures Limited",,"Accounts Receivable",,"-SPLIT-",56223.29,"",60183719.81,"Accounts Receivable"
,"Invoice","15-01-2025","MC06566","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",691854.62,"",60875574.43,"Accounts Receivable"
,"Invoice","15-01-2025","MC06567","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",483672.67,"",61359247.10,"Accounts Receivable"
,"Invoice","15-01-2025","MC06568","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",227553.02,"",61586800.12,"Accounts Receivable"
,"Invoice","15-01-2025","MC06569","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",238260.29,"",61825060.41,"Accounts Receivable"
,"Invoice","15-01-2025","MC06570","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",90295.14,"",61915355.55,"Accounts Receivable"
,"Invoice","15-01-2025","MC06571","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",457950.46,"",62373306.01,"Accounts Receivable"
,"Invoice","15-01-2025","MC06572","Unilever Kenya Ltd:Domestos",,"Accounts Receivable",,"-SPLIT-",295054.06,"",62668360.07,"Accounts Receivable"
,"Invoice","15-01-2025","MC06573","Unilever Kenya Ltd:Domestos",,"Accounts Receivable",,"-SPLIT-",162235.98,"",62830596.05,"Accounts Receivable"
,"Invoice","17-01-2025","MC06574","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",676278.04,"",63506874.09,"Accounts Receivable"
,"Invoice","17-01-2025","MC06575","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",140146.73,"",63647020.82,"Accounts Receivable"
,"Invoice","17-01-2025","MC06576","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",255211.60,"",63902232.42,"Accounts Receivable"
,"Invoice","17-01-2025","MC06577","Unilever Kenya Ltd:Emit",,"Accounts Receivable",,"-SPLIT-",131220.82,"",64033453.24,"Accounts Receivable"
,"Invoice","17-01-2025","MC06578","Unilever Kenya Ltd:Sixin",,"Accounts Receivable",,"-SPLIT-",78764.00,"",64112217.24,"Accounts Receivable"
,"Invoice","17-01-2025","MC06579","Unilever Kenya Ltd:Emit",,"Accounts Receivable",,"-SPLIT-",185658.00,"",64297875.24,"Accounts Receivable"
,"Payment","20-01-2025","2000001322","-MULTIPLE-",,"Accounts Receivable",,"Undeposited Funds","",7691242.42,56606632.82,"Accounts Receivable"
,"Invoice","21-01-2025","MC06580","HAPPY VIEW SUPERMARKET LIMITED",,"Accounts Receivable",,"-SPLIT-",1740.00,"",56608372.82,"Accounts Receivable"
,"Invoice","21-01-2025","MC06581","Qways Supermarket",,"Accounts Receivable",,"-SPLIT-",3282.00,"",56611654.82,"Accounts Receivable"
,"Invoice","21-01-2025","MC06582","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",322865.49,"",56934520.31,"Accounts Receivable"
,"Invoice","21-01-2025","MC06583","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",138577.96,"",57073098.27,"Accounts Receivable"
,"Invoice","21-01-2025","MC06584","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",91021.21,"",57164119.48,"Accounts Receivable"
,"Invoice","21-01-2025","MC06585","Unilever Kenya Ltd:Sunlight Scouring Pwd",,"Accounts Receivable",,"-SPLIT-",167516.41,"",57331635.89,"Accounts Receivable"
,"Invoice","21-01-2025","MC06586","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",255211.60,"",57586847.49,"Accounts Receivable"
,"Invoice","21-01-2025","MC06587","OFFSHORE GLOBAL LOGISTICS LIMITED",,"Accounts Receivable",,"-SPLIT-",10428.39,"",57597275.88,"Accounts Receivable"
,"Invoice","21-01-2025","MC06588","BLUEMART PRODUCTS EAST AFRICA LTD",,"Accounts Receivable",,"-SPLIT-",5686.32,"",57602962.20,"Accounts Receivable"
,"Invoice","21-01-2025","MC06589","Azaavi Collections Limited",,"Accounts Receivable",,"-SPLIT-",1305.00,"",57604267.20,"Accounts Receivable"
,"Invoice","21-01-2025","MC06590","BLUEMART PRODUCTS EAST AFRICA LTD",,"Accounts Receivable",,"-SPLIT-",5912.52,"",57610179.72,"Accounts Receivable"
,"Invoice","21-01-2025","MC06591","Sleek Kenya Ltd",,"Accounts Receivable",,"-SPLIT-",9679.97,"",57619859.69,"Accounts Receivable"
,"Invoice","22-01-2025","MC06592","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",230618.21,"",57850477.90,"Accounts Receivable"
,"Invoice","22-01-2025","MC06593","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",716872.00,"",58567349.90,"Accounts Receivable"
,"Invoice","22-01-2025","MC06594","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",350810.91,"",58918160.81,"Accounts Receivable"
,"Invoice","22-01-2025","MC06595","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",255278.88,"",59173439.69,"Accounts Receivable"
,"Payment","22-01-2025","2000001542","-MULTIPLE-",,"Accounts Receivable",,"Undeposited Funds","",5084285.67,54089154.02,"Accounts Receivable"
,"Invoice","23-01-2025","MC06596","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",552768.77,"",54641922.79,"Accounts Receivable"
,"Invoice","23-01-2025","MC06597","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",570122.83,"",55212045.62,"Accounts Receivable"
,"Invoice","23-01-2025","MC06598","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",1354881.97,"",56566927.59,"Accounts Receivable"
,"Invoice","23-01-2025","MC06599","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",423213.59,"",56990141.18,"Accounts Receivable"
,"Invoice","24-01-2025","MC06600","THE BRIGHT STAR SUPERMARKET LIMITED",,"Accounts Receivable",,"-SPLIT-",2784.00,"",56992925.18,"Accounts Receivable"
,"Invoice","24-01-2025","MC06601","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",507360.06,"",57500285.24,"Accounts Receivable"
,"Invoice","24-01-2025","MC06602","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",241836.34,"",57742121.58,"Accounts Receivable"
,"Invoice","24-01-2025","MC06603","Unilever Kenya Ltd:Vim",,"Accounts Receivable",,"-SPLIT-",227553.02,"",57969674.60,"Accounts Receivable"
"Total Accounts Receivable",,,,,,,,,19585533.27,27988668.19,57969674.60,
"Accounts Receivable - USD",,,,,,,,,,,0.00,
"Total Accounts Receivable - USD",,,,,,,,,"","",0.00,
"VAT Refund",,,,,,,,,,,677694.23,
"Total VAT Refund",,,,,,,,,"","",677694.23,
"Total Accounts Receivable",,,,,,,,,19585533.27,27988668.19,58647368.83,
"Cash at bank and in hand",,,,,,,,,,,71533347.12,
"Undeposited Funds",,,,,,,,,,,0.00,
"Total Undeposited Funds",,,,,,,,,"","",0.00,
"ABSA BANK ANTIOCH",,,,,,,,,,,15833.00,
"Total ABSA BANK ANTIOCH",,,,,,,,,"","",15833.00,
"ABSA  BANK MCDAVE",,,,,,,,,,,95078.00,
"Total ABSA  BANK MCDAVE",,,,,,,,,"","",95078.00,
"KCB Antioch",,,,,,,,,,,752273.17,
"Total KCB Antioch",,,,,,,,,"","",752273.17,
"Canteen Petty Cash",,,,,,,,,,,0.00,
"Total Canteen Petty Cash",,,,,,,,,"","",0.00,
"VAT Payment",,,,,,,,,,,1072768.29,
"Total VAT Payment",,,,,,,,,"","",1072768.29,
"NCBA Account",,,,,,,,,,,0.00,
"Total NCBA Account",,,,,,,,,"","",0.00,
"Checking Account",,,,,,,,,,,0.26,
"Total Checking Account",,,,,,,,,"","",0.26,
"KCB Bank",,,,,,,,,,,2124757.14,
,"Bill Pmt -Cheque","02-01-2025","FT2500292D4","P.J Genesis Chuma Limited","P051733657Z","KCB Bank","*","Accounts Payable","",968080.00,1156677.14,"Bank"
,"Bill Pmt -Cheque","02-01-2025",,"Wells Fargo Limited","QuickBooks generated zero amount transaction for bill payment stub","KCB Bank","*","Accounts Payable",0.00,"",1156677.14,"Bank"
,"Deposit","03-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",5732393.18,"",6889070.32,"Bank"
,"Deposit","03-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",5491282.26,"",12380352.58,"Bank"
,"Deposit","03-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",784459.35,"",13164811.93,"Bank"
,"Bill Pmt -Cheque","03-01-2025","FT250039NQW","P.J Genesis Chuma Limited","P051733657Z","KCB Bank","*","Accounts Payable","",437900.00,12726911.93,"Bank"
,"Transfer","04-01-2025",,,"Funds Transfer","KCB Bank","*","Cash Account","",125000.00,12601911.93,"Bank"
,"Transfer","05-01-2025",,,"Funds Transfer","KCB Bank","*","Cash Account","",990000.00,11611911.93,"Bank"
,"Deposit","06-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",17000.00,"",11628911.93,"Bank"
,"Bill Pmt -Cheque","07-01-2025","20053702331","Priyann Enterprises Limited","P051145349Z","KCB Bank","*","Accounts Payable","",524400.00,11104511.93,"Bank"
,"Bill Pmt -Cheque","07-01-2025","20053694062","Kenya Power & Lighting Company Ltd.","P000591096X","KCB Bank","*","Accounts Payable","",801482.00,10303029.93,"Bank"
,"General Journal","07-01-2025","26649",,"Dec 2024 SACCO Savings Remittance","KCB Bank","*","SACCO Savings","",31200.00,10271829.93,"Bank"
,"General Journal","07-01-2025","26650",,"Dec 2024 SHA Payment","KCB Bank","*","SHA","",29262.00,10242567.93,"Bank"
,"General Journal","07-01-2025","26651",,"Dec 2024 PAYE Payment","KCB Bank","*","PAYE","",45267.00,10197300.93,"Bank"
,"General Journal","07-01-2025","26653",,"Dec 2024 NITA Payment","KCB Bank","*","NITA","",1850.00,10195450.93,"Bank"
,"General Journal","07-01-2025","26654",,"Dec 2024 Housing Levy payment","KCB Bank","*","Housing Levy","",31922.00,10163528.93,"Bank"
,"General Journal","07-01-2025","26657",,"Dec 2024 NSSF Payment","KCB Bank","*","NSSF","",117804.00,10045724.93,"Bank"
,"Cheque","07-01-2025","FT25007F2QF","Kenya Association of Manufacturers","subscription 2025","KCB Bank","*","Accounts Payable","",60140.00,9985584.93,"Bank"
,"Bill Pmt -Cheque","09-01-2025","FT25009ZRRD","P.J Genesis Chuma Limited","P051733657Z","KCB Bank","*","Accounts Payable","",1052600.00,8932984.93,"Bank"
,"Bill Pmt -Cheque","10-01-2025","20053831502","Skylife Lite Limited","P051618488B","KCB Bank","*","Accounts Payable","",756900.00,8176084.93,"Bank"
,"Bill Pmt -Cheque","10-01-2025","001170","Bigoh Properties LLP","P051362205N","KCB Bank","*","Accounts Payable","",661056.35,7515028.58,"Bank"
,"Bill Pmt -Cheque","10-01-2025","FT25010WNLQ","P.J Genesis Chuma Limited","P051733657Z","KCB Bank","*","Accounts Payable","",478850.00,7036178.58,"Bank"
,"Deposit","10-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",4872.00,"",7041050.58,"Bank"
,"Deposit","10-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",4586050.00,"",11627100.58,"Bank"
,"Deposit","10-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",1214861.29,"",12841961.87,"Bank"
,"Transfer","11-01-2025",,,"Funds Transfer","KCB Bank","*","Cash Account","",300000.00,12541961.87,"Bank"
,"Transfer","12-01-2025",,,"Funds Transfer","KCB Bank","*","Cash Account","",990000.00,11551961.87,"Bank"
,"Bill Pmt -Cheque","14-01-2025","FT25014W27N","P.J Genesis Chuma Limited","P051733657Z","KCB Bank","*","Accounts Payable","",429200.00,11122761.87,"Bank"
,"Deposit","14-01-2025",,,"Deposit","KCB Bank","*","Undeposited Funds",3899074.55,"",15021836.42,"Bank"
,"Bill Pmt -Cheque","15-01-2025",,"P.J Genesis Chuma Limited","QuickBooks generated zero amount transaction for bill payment stub","KCB Bank","*","Accounts Payable",0.00,"",15021836.42,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001169","Allpack Industries Limited","P000606242R","KCB Bank","*","Accounts Payable","",990000.00,14031836.42,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001171","Allpack Industries Limited","P000606242R","KCB Bank","*","Accounts Payable","",523420.45,13508415.97,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001172","Ashut Plastics Limited","P051897122Z","KCB Bank","*","Accounts Payable","",990000.00,12518415.97,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001173","Ashut Plastics Limited","P051897122Z","KCB Bank","*","Accounts Payable","",280051.20,12238364.77,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001174","Mr. Green Trading Africa Kenya Limited","P051506800Y","KCB Bank","*","Accounts Payable","",990000.00,11248364.77,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001175","Mr. Green Trading Africa Kenya Limited","P051506800Y","KCB Bank","*","Accounts Payable","",990000.00,10258364.77,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001176","Mr. Green Trading Africa Kenya Limited","P051506800Y","KCB Bank","*","Accounts Payable","",990000.00,9268364.77,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001177","Mr. Green Trading Africa Kenya Limited","P051506800Y","KCB Bank","*","Accounts Payable","",393290.70,8875074.07,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001178","Nevira Minerals Limited","P051586972Z","KCB Bank","*","Accounts Payable","",620046.00,8255028.07,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001179","Statpack Industries Limited","P000601853N","KCB Bank",,"Accounts Payable","",934007.70,7321020.37,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001180","Unique Packaging (Ke) Limited","P051610994M","KCB Bank",,"Accounts Payable","",473556.00,6847464.37,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001181","Vekaria Construction Co. Limited","P000612963W","KCB Bank","*","Accounts Payable","",990000.00,5857464.37,"Bank"
,"Bill Pmt -Cheque","15-01-2025","001182","Vekaria Construction Co. Limited","P000612963W","KCB Bank","*","Accounts Payable","",410490.00,5446974.37,"Bank"
